Full Name,Primary Company,Previous startups?,Consulting before start-up,Standardized University,Standardized Major,Degree Type,Standardized Graduate Institution,Standardized Graduate Studies,Graduate Diploma,Ever served as TA/Teacher/Professor/Mentor?,Years of Employment,Worked as product manager/director/head/VP?,Worked at Google?,Worked at Microsoft?,Worked in Sales?,Stanford or Berkeley,Ivy League,Crunchbase,LinkedIn
Chad Hurley,YouTube,0.0,0.0,Indiana University of Pennsylvania,Design,,,,,0.0,4.0,1.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/chad-hurley,http://www.linkedin.com/profile/view?id=5711
Gwyneth Paltrow,Goop Inc.,0.0,0.0,,,,,,,0.0,12.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/gwyneth-paltrow,https://www.linkedin.com/in/gwyneth-paltrow-483b5511a
Jason Calacanis,Inside.com,3.0,0.0,Fordham University,Psychology,BA,,,,0.0,4.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/jason-calacanis,http://www.linkedin.com/in/jasoncalacanis
Tony Fadell,Nest Labs,1.0,0.0,University of Michigan,Computer Science,BS,,,,0.0,18.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/tony-fadell,http://www.linkedin.com/pub/tony-fadell/0/1/380
Matt Mullenweg,Automattic,1.0,0.0,University of Houston,,,,,,0.0,15.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/matt-mullenweg,http://www.linkedin.com/in/mattm
Eric Lefkofsky,Tempus,6.0,0.0,University of Michigan,,BA,University of Michigan,Law,JD,1.0,0.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/eric-lefkofsky,http://www.linkedin.com/in/ericlefkofsky
Kevin Systrom,Instagram,0.0,0.0,Stanford University,Operations Research,,,,,0.0,5.0,1.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/kevin-systrom,http://www.linkedin.com/in/kevinsystrom
Matt Humphrey,LendingHome,4.0,0.0,Carnegie Mellon University,Computer Science,BS,Carnegie Mellon University,Business,MBA,0.0,0.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/matt-humphrey,https://www.linkedin.com/in/matthumphrey
Dustin Moskovitz,Asana,3.0,0.0,Harvard University,Economics,,,,,,0.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/dustin-moskovitz,https://www.linkedin.com/in/dmoskov
Jan Koum,WhatsApp,0.0,0.0,San Jose State University,Computer Science,BS,,,,0.0,9.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/jan-koum,https://www.linkedin.com/in/jkoum?authType=NAME_SEARCH&authToken=HCrg&locale=en_US&trk=tyah&trkInfo=clickedVertical%3Amynetwork%2CclickedEntityId%3A162251%2CauthType%3ANAME_SEARCH%2Cidx%3A1-1-1%2CtarId%3A1463496543831%2Ctas%3AJan%20Koum
Rob May,Talla,2.0,0.0,University of Kentucky,Electrical Engineering,BE,University of Kentucky,Business,MBA,1.0,18.5,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/rob-may,https://www.linkedin.com/in/robmay
Brian Wong,Kiip,3.0,0.0,University of British Columbia,Business,BA,,,,0.0,4.5,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/brian-wong,https://www.linkedin.com/in/wongbrian
Jason Tan,Sift Science,0.0,0.0,University of Washington,Computer Science,BE,,,,0.0,5.5,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/jason-tan-3,https://www.linkedin.com/in/jasontan325
Sandeep Aggarwal,Droom Technology,0.0,0.0,,,,,,,0.0,11.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/sandeep-aggarwal,https://www.linkedin.com/in/sandeep-aggarwal-abb6a61
Payal Kadakia,ClassPass,1.0,1.0,Massachusetts Institute of Technology,Operations Research,BS,,,,0.0,12.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/payal-kadakia,http://www.linkedin.com/pub/payal-kadakia/2/29/84
Brendan Iribe,Oculus,1.0,0.0,University of Maryland College Park,Computer Science,Drop,,,,1.0,13.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/brendan-iribe,http://www.linkedin.com/in/brendaniribe
Tom Chavez,Krux,1.0,0.0,Harvard University,Computer Science,BA,Stanford University,Operations Research,PhD,0.0,11.0,1.0,0.0,1.0,0.0,0,1,https://www.crunchbase.com/person/tom-chavez,https://www.linkedin.com/in/tommychavez
Tina Sharkey,Brandless,0.0,0.0,University of Pennsylvania,International Relations,BA,,,,0.0,4.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/tina-sharkey,http://www.linkedin.com/in/tinasharkey
Emmett Shear,Twitch,2.0,0.0,Yale University,Computer Science,BS,University of Washington,,,0.0,4.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/emmett-shear,http://www.linkedin.com/pub/emmett-shear/1/380/610
Jon Miller,Engagio,0.0,1.0,Harvard University,Physics,BA,Stanford University,Business,MBA,1.0,8.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/jon-miller-2,http://www.linkedin.com/in/jonmiller2
Don Ressler,Fabletics,0.0,0.0,,,,,,,0.0,8.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/don-ressler,https://www.linkedin.com/company/justfab
Jonah Goodhart,Moat,6.0,0.0,Cornell University,Political Science,BA,,,,0.0,5.0,1.0,0.0,0.0,0.0,0,1,https://www.crunchbase.com/person/jonah-goodhart,http://www.linkedin.com/in/jonahgoodhart
Ron Gula,"Tenable Network Security, Inc.",0.0,0.0,Clarkson University,Electrical Engineering,BS,Southern Illinois University Edwardsville,Electrical Engineering,MS,0.0,12.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/ron-gula,https://www.linkedin.com/pub/ron-gula/0/101/a8
Pau Sabria,Olapic,0.0,1.0,Technical University of Catalonia,Engineering,BE,Columbia University,Business,MS,1.0,4.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/pau-sabria,http://www.linkedin.com/in/pausabria
Jack Conte,Patreon,0.0,0.0,Stanford University,Music,BA,,,,1.0,0.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/jack-conte,https://www.linkedin.com/in/jack-conte-a15a3686
Liz Wessel,WayUp,2.0,0.0,University of Pennsylvania,,BA,,,,1.0,5.0,1.0,1.0,0.0,0.0,0,0,https://www.crunchbase.com/person/liz-wessel,https://www.linkedin.com/in/elizabethwessel/
Vlad Tenev,Robinhood,0.0,0.0,Stanford University,Mathematics,BA,University of California Los Angeles,Mathematics,MA,0.0,10.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/vlad-tenev,https://www.linkedin.com/in/vladimir-tenev-7037591b/
Chris Milk,WITHIN (VR/AR),2.0,0.0,Academy of Art University,Film,BA,University of California Santa Barbara,Film,,0.0,1.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/chris-milk,https://www.linkedin.com/pub/chris-milk/83/ab/7ba
Alex Fielding,Ripcord,0.0,0.0,San Jose State University,,,Stanford University,,,0.0,7.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/alex-fielding,https://www.linkedin.com/in/ripcord/
Will Marshall,Planet,0.0,0.0,University of Leicester,Physics,MS,University of Oxford,Physics,PhD,1.0,7.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/will-marshall,https://www.linkedin.com/pub/will-marshall/0/662/715
Ron Gutman,HealthTap,1.0,0.0,Stanford University,,,Stanford University,Business,MBA,1.0,14.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/ron-gutman,http://www.linkedin.com/in/rongutman
Tony Xu,DoorDash,0.0,1.0,University of California Berkeley,Operations Research,BS,Stanford University,Business,MBA,1.0,2.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/tony-xu,http://www.linkedin.com/in/xutony
Andy Palmer,Tamr,1.0,0.0,Bowdoin College,Computer Science,BA,Massachusetts Institute of Technology,Business,MBA,1.0,2.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/andy-palmer-2,http://www.linkedin.com/in/andypalmer
Pete Cashmore,Mashable,0.0,0.0,,,,,,,0.0,6.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/pete-cashmore,http://www.linkedin.com/in/mashable
David Friedberg,The Climate Corporation,0.0,0.0,University of California Berkeley,Physics,BA,,,,1.0,2.0,1.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/david-friedberg,https://www.linkedin.com/in/davidfriedberg/
Marcelo Camberos,ipsy,0.0,1.0,Duke University,Economics,BA,Stanford University,Business,MBA,1.0,7.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/marcelo-camberos,http://www.linkedin.com/in/marcelocamberos
Philip Krim,Casper Sleep,1.0,0.0,University of Texas Austin,Business,BA,,,,1.0,1.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/philip-krim,http://www.linkedin.com/pub/philip-krim/5/34/383
Noah Kraft,Doppler Labs,0.0,1.0,Brown University,International Relations,BA,University of California Los Angeles,,,1.0,7.0,0.0,1.0,0.0,0.0,0,1,https://www.crunchbase.com/person/noah-kraft,https://www.linkedin.com/in/noahkraft
Amy Chang,Accompany,0.0,1.0,Stanford University,Electrical Engineering,BE,Stanford University,Electrical Engineering,MEng,1.0,12.0,1.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/amy-chang,http://www.linkedin.com/in/changamy
Steve Shillingford,Anonyome Labs,0.0,0.0,Brigham Young University,Psychology,BS,University of California Berkeley,Business,MBA,1.0,7.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/steve-shillingford,http://www.linkedin.com/pub/steve-shillingford/0/592/650
David Rogier,MasterClass,0.0,0.0,Washington University in St. Louis,Economics,BA,Stanford University,Business,MBA,0.0,12.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/david-rogier,http://www.linkedin.com/in/drogier
Ryan Smith,Qualtrics,0.0,0.0,Brigham Young University,Business,BA,,,,1.0,3.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/ryan-smith-6,http://www.linkedin.com/pub/ryan-smith/1/790/341
Nick Huzar,OfferUp,0.0,0.0,Washington State University,Operations Research,BA,,,,0.0,6.0,1.0,0.0,1.0,0.0,0,0,https://www.crunchbase.com/person/nick-huzar,http://www.linkedin.com/in/nickhuzar
Emily Weiss,Glossier,1.0,0.0,New York University,,,,,,1.0,4.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/emily-weiss,https://www.linkedin.com/in/emily-weiss-49014571
Nirav Tolia,Nextdoor,0.0,0.0,,,,,,,1.0,9.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/nirav-tolia,https://www.linkedin.com/in/niravtolia/
Balaji S. Srinivasan,21 Inc,0.0,0.0,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/balaji-s-srinivasan,http://www.linkedin.com/in/balajissrinivasan
Danielle Morrill,Mattermark,1.0,1.0,,,,,,,0.0,5.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/danielle-morrill,http://www.linkedin.com/in/daniellemorrill
Seth Sternberg,Honor,1.0,0.0,Yale University,Political Science,BA,Stanford University,Business,MBA,0.0,4.0,1.0,1.0,0.0,0.0,0,1,https://www.crunchbase.com/person/seth-sternberg,https://www.linkedin.com/in/sethjs/
Jen Rubio,Away,0.0,1.0,,,,,,,0.0,11.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/jen-rubio,https://www.linkedin.com/in/jenrubio/
Curtis Lee,Luxe,1.0,1.0,University of California Berkeley,,,University of Pennsylvania,Business,MBA,1.0,13.0,1.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/curtis-lee,http://www.linkedin.com/profile/view?id=4192304
Greg Duffy,Dropcam,1.0,0.0,,,,,,,0.0,12.0,1.0,1.0,1.0,0.0,0,0,https://www.crunchbase.com/person/greg-duffy,https://www.linkedin.com/in/gregduffy/
Stefan Heck,"Nauto, Inc.",0.0,1.0,Stanford University,Cognitive Science,BS,University of California San Diego,Cognitive Science,PhD,0.0,4.0,1.0,0.0,0.0,1.0,1,0,https://www.crunchbase.com/person/stefan-heck,https://www.linkedin.com/in/stefan-heck-4268
Karl Mehta,EdCast,1.0,0.0,University of Bombay,Electrical Engineering,BA,,,,0.0,6.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/karl-mehta,http://www.linkedin.com/pub/karl-mehta/0/2b9/6a6
Joshua Reeves,Gusto,2.0,1.0,Stanford University,Electrical Engineering,BA,Stanford University,Electrical Engineering,MS,1.0,9.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/joshua-reeves,http://www.linkedin.com/in/joshuareeves
Bret Taylor,Quip,0.0,0.0,Stanford University,Computer Science,BS,Stanford University,Computer Science,MS,1.0,1.0,1.0,1.0,0.0,0.0,1,0,https://www.crunchbase.com/person/bret-taylor,http://www.linkedin.com/in/brettaylor
Melody McCloskey,StyleSeat,0.0,0.0,University of California Davis,International Relations,BA,,,,1.0,6.0,0.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/melody-mccloskey,http://www.linkedin.com/in/melodymccloskey
Tyler Droll,Yik Yak,0.0,0.0,,,,,,,1.0,7.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/tyler-droll,http://www.linkedin.com/pub/tyler-droll/96/4a7/a4a
Baiju Prafulkumar Bhatt,Robinhood,0.0,0.0,Stanford University,Physics,BA,Stanford University,Mathematics,MS,1.0,8.0,1.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/baiju-prafulkumar-bhatt,https://www.linkedin.com/in/bprafulkumar
Dennis Mortensen,x.ai,3.0,0.0,Skive Business College,Computer Science,BA,British Columbia Institute of Technology,Computer Science,Associate Instructor,0.0,10.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/dennis-r-mortensen,http://www.linkedin.com/in/dennismortensen
Max Ventilla,AltSchool,2.0,0.0,Yale University,Physics,BS,Yale University,Business,MBA,0.0,14.0,1.0,1.0,0.0,1.0,0,1,https://www.crunchbase.com/person/max-ventilla,https://www.linkedin.com/in/ventilla/
Zain Jaffer,Vungle,6.0,0.0,King's College London,Business,BS,London Business School,Business,MBA,0.0,14.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/zain-jaffer,http://www.linkedin.com/in/zainjaffer
Ben Marcus,AirMap,1.0,0.0,Purdue University,Engineering,BS,,,,1.0,1.0,0.0,0.0,0.0,1.0,0,0,https://www.crunchbase.com/person/ben-marcus,https://www.linkedin.com/in/benjamindmarcus
Mike Farley,Tile,0.0,0.0,State University of New York College at Plattsburgh,Computer Science,BS,The University of Queensland,,,0.0,8.0,1.0,0.0,0.0,0.0,0,0,https://www.crunchbase.com/person/mike-farley-3,https://www.linkedin.com/in/farleymichael
David Niu,TINYhr,3.0,1.0,University of California Berkeley,Political Science,BA,University of Pennsylvania ,Business,MBA,0.0,1.0,0.0,0.0,0.0,0.0,1,0,https://www.crunchbase.com/person/david-niu,http://www.linkedin.com/in/davidniu
