Full Name,Primary Company,Seed Valuation,A Valuation,B Valuation,Valuation Increase
Chad Hurley,YouTube,0,"14,000,000.00","88,400,000.00",6.314285714
Gwyneth Paltrow,Goop Inc.,0,"40,000,000.00","65,000,000.00",1.625
Jason Calacanis,Inside.com,"$7,000,000.00 ","11,250,000.00",0,#VALUE!
Tony Fadell,Nest Labs,"$2,700,000.00 ","49,210,000.00","288,120,000.00",5.854907539
Matt Mullenweg,Automattic,0,"8,650,000.00","238,590,000.00",27.58265896
Eric Lefkofsky,Tempus,0,"82,500,000.00",0,#VALUE!
Kevin Systrom,Instagram,"$2,600,000.00 ","32,000,000.00","500,000,000.00",15.625
Matt Humphrey,LendingHome,0,"33,820,000.00","173,970,000.00",5.143997635
Dustin Moskovitz,Asana,0,"52,260,000.00","310,000,000.00",5.931879066
Jan Koum,WhatsApp,0,"40,290,000.00","1,630,000,000.00",40.456689
Rob May,Talla,"$10,070,000.00 ","20,000,000.00",0,#VALUE!
Brian Wong,Kiip,"$590,000.00 ","11,170,000.00","35,540,000.00",3.181736795
Jason Tan,Sift Science,0,"20,170,000.00","80,350,000.00",3.983639068
Sandeep Aggarwal,Droom Technology Private Limited,0,0,"225,000,000.00",#VALUE!
Payal Kadakia,ClassPass,"$15,580,000.00 ","80,000,000.00","414,500,000.00",5.18125
Brendan Iribe,Oculus,0,"46,000,000.00","287,440,000.00",6.248695652
Tom Chavez,Krux,"$9,590,000.00 ","28,920,000.00","254,100,000.00",8.786307054
Tina Sharkey,Brandless,"$14,900,000.00 ","35,500,000.00","105,000,000.00",2.957746479
Emmett Shear,Twitch,"$1,050,000.00 ","24,190,000.00","61,020,000.00",2.522529971
Jon Miller,Engagio,0,"32,000,000.00","100,000,000.00",3.125
Don Ressler,Fabletics,0,"210,000,000.00","316,000,000.00",1.504761905
Jonah Goodhart,Moat,0,0,"53,800,000.00",#VALUE!
Ron Gula,"Tenable Network Security, Inc.",0,"550,000,000.00",0,#VALUE!
Pau Sabria,Olapic,"$5,480,000.00 ","22,290,000.00","57,380,000.00",2.574248542
Jack Conte,Patreon,"$7,980,000.00 ","65,500,000.00","140,000,000.00",2.13740458
Liz Wessel,WayUp,"$5,110,000.00 ","34,470,000.00","55,500,000.00",1.610095735
Vlad Tenev,Robinhood,0,"61,500,000.00","250,000,000.00",4.06504065
Chris Milk,WITHIN (VR/AR),0,"40,420,000.00","150,000,000.00",3.711034142
Alex Fielding,Ripcord,"$2,000,000.00 ","24,910,000.00","87,000,000.00",3.492573264
Will Marshall,Planet,0,"53,420,000.00","468,000,000.00",8.760763759
Ron Gutman,HealthTap,0,0,"77,430,000.00",#VALUE!
Tony Xu,DoorDash,0,"71,550,000.00","600,000,000.00",8.385744235
Andy Palmer,Tamr,"$8,720,000.00 ","35,000,000.00","154,910,000.00",4.426
Pete Cashmore,Mashable,0,"70,000,000.00","150,000,000.00",2.142857143
David Friedberg,The Climate Corporation,0,0,"192,110,000.00",#VALUE!
Marcelo Camberos,ipsy,0,"20,690,000.00","800,000,000.00",38.66602223
Philip Krim,Casper Sleep,"$7,220,000.00 ","59,090,000.00","555,000,000.00",9.392452192
Noah Kraft,Doppler Labs,"$20,000,000.00 ","85,000,000.00","235,000,000.00",2.764705882
Amy Chang,Accompany,0,"25,000,000.00","200,000,000.00",8
Steve Shillingford,Anonyome Labs,"$3,280,000.00 ","39,740,000.00","68,000,000.00",1.711122295
David Rogier,MasterClass,"$8,620,000.00 ",0,"61,190,000.00",#VALUE!
Ryan Smith,Qualtrics,0,0,"1,000,000,000.00",#VALUE!
Nick Huzar,OfferUp,0,"13,300,000.00","66,900,000.00",5.030075188
Emily Weiss,Glossier,"$10,000,000.00 ","35,000,000.00","130,000,000.00",3.714285714
Nirav Tolia,Nextdoor,0,"23,650,000.00","31,400,000.00",1.32769556
Balaji S. Srinivasan,21 Inc,0,"25,050,000.00","275,000,000.00",10.97804391
Danielle Morrill,Mattermark,0,"25,000,000.00","42,300,000.00",1.692
Seth Sternberg,Honor,0,"66,000,000.00","160,000,000.00",2.424242424
Jen Rubio,Away,"$7,200,000.00 ","40,000,000.00","120,000,000.00",3
Curtis Lee,Luxe,"$18,000,000.00 ","70,000,000.00","160,000,000.00",2.285714286
Greg Duffy,Dropcam,0,0,"56,490,000.00",#VALUE!
Stefan Heck,"Nauto, Inc.",0,"36,000,000.00",0,#VALUE!
Karl Mehta,EdCast,0,"17,570,000.00","71,000,000.00",4.040978941
Joshua Reeves,Gusto,"$32,590,000.00 ","127,530,000.00","560,000,000.00",4.391123657
Bret Taylor,Quip,0,"94,730,000.00","377,310,000.00",3.983004328
Melody McCloskey,StyleSeat,"$15,950,000.00 ","42,510,000.00","119,310,000.00",2.806633733
Tyler Droll,Yik Yak,0,"44,240,000.00","400,520,000.00",9.053345389
Baiju Prafulkumar Bhatt,Robinhood,0,"61,500,000.00","250,000,000.00",4.06504065
Dennis Mortensen,x.ai,"$7,440,000.00 ","34,130,000.00","87,370,000.00",2.559917961
Max Ventilla,AltSchool,"$6,600,000.00 ","92,980,000.00","325,000,000.00",3.49537535
Zain Jaffer,Vungle,0,"20,950,000.00","101,190,000.00",4.830071599
Ben Marcus,AirMap,"$12,960,000.00 ","48,470,000.00","115,260,000.00",2.377965752
Mike Farley,Tile,"$51,310,000.00 ","54,310,000.00","166,670,000.00",3.068863929
David Niu,TINYhr,"$17,500,000.00 ","70,000,000.00",0,#VALUE!
Jeremy Johnson,Andela,0,"33,830,000.00","112,000,000.00",3.310671002
David Cancel,Drift,0,"45,130,000.00",0,#VALUE!
Mikita Mikado,Quote Roller,0,"23,860,000.00","70,000,000.00",2.933780386
Kamakshi Sivaramakrishnan,Drawbridge Inc.,0,"15,840,000.00","99,000,000.00",6.25
Anthony Casalena,Squarespace,0,"133,410,000.00","560,910,000.00",4.204407466
