DATE,TB4WK
2001-07-01,3.61
2001-08-01,3.48
2001-09-01,2.63
2001-10-01,2.24
2001-11-01,1.96
2001-12-01,1.69
2002-01-01,1.65
2002-02-01,1.70
2002-03-01,1.75
2002-04-01,1.69
2002-05-01,1.71
2002-06-01,1.68
2002-07-01,1.69
2002-08-01,1.66
2002-09-01,1.65
2002-10-01,1.60
2002-11-01,1.24
2002-12-01,1.18
2003-01-01,1.15
2003-02-01,1.18
2003-03-01,1.16
2003-04-01,1.14
2003-05-01,1.06
2003-06-01,0.96
2003-07-01,0.88
2003-08-01,0.93
2003-09-01,0.89
2003-10-01,0.89
2003-11-01,0.92
2003-12-01,0.87
2004-01-01,0.83
2004-02-01,0.90
2004-03-01,0.95
2004-04-01,0.89
2004-05-01,0.89
2004-06-01,1.02
2004-07-01,1.16
2004-08-01,1.35
2004-09-01,1.52
2004-10-01,1.60
2004-11-01,1.88
2004-12-01,1.92
2005-01-01,1.99
2005-02-01,2.32
2005-03-01,2.60
2005-04-01,2.59
2005-05-01,2.59
2005-06-01,2.78
2005-07-01,3.04
2005-08-01,3.28
2005-09-01,3.16
2005-10-01,3.44
2005-11-01,3.84
2005-12-01,3.61
2006-01-01,4.03
2006-02-01,4.31
2006-03-01,4.47
2006-04-01,4.52
2006-05-01,4.61
2006-06-01,4.62
2006-07-01,4.80
2006-08-01,5.08
2006-09-01,4.68
2006-10-01,4.88
2006-11-01,5.13
2006-12-01,4.78
2007-01-01,4.84
2007-02-01,5.09
2007-03-01,5.11
2007-04-01,4.89
2007-05-01,4.72
2007-06-01,4.42
2007-07-01,4.71
2007-08-01,4.11
2007-09-01,3.70
2007-10-01,3.72
2007-11-01,3.63
2007-12-01,2.79
2008-01-01,2.68
2008-02-01,2.23
2008-03-01,1.34
2008-04-01,1.04
2008-05-01,1.73
2008-06-01,1.69
2008-07-01,1.58
2008-08-01,1.65
2008-09-01,0.86
2008-10-01,0.26
2008-11-01,0.09
2008-12-01,0.03
2009-01-01,0.05
2009-02-01,0.22
2009-03-01,0.10
2009-04-01,0.09
2009-05-01,0.14
2009-06-01,0.10
2009-07-01,0.15
2009-08-01,0.12
2009-09-01,0.06
2009-10-01,0.04
2009-11-01,0.05
2009-12-01,0.03
2010-01-01,0.02
2010-02-01,0.06
2010-03-01,0.11
2010-04-01,0.15
2010-05-01,0.15
2010-06-01,0.08
2010-07-01,0.16
2010-08-01,0.15
2010-09-01,0.12
2010-10-01,0.14
2010-11-01,0.13
2010-12-01,0.08
2011-01-01,0.14
2011-02-01,0.11
2011-03-01,0.06
2011-04-01,0.03
2011-05-01,0.02
2011-06-01,0.02
2011-07-01,0.04
2011-08-01,0.02
2011-09-01,0.00
2011-10-01,0.01
2011-11-01,0.01
2011-12-01,0.00
2012-01-01,0.02
2012-02-01,0.06
2012-03-01,0.06
2012-04-01,0.07
2012-05-01,0.07
2012-06-01,0.05
2012-07-01,0.07
2012-08-01,0.09
2012-09-01,0.07
2012-10-01,0.11
2012-11-01,0.13
2012-12-01,0.04
2013-01-01,0.05
2013-02-01,0.08
2013-03-01,0.08
2013-04-01,0.05
2013-05-01,0.02
2013-06-01,0.03
2013-07-01,0.02
2013-08-01,0.04
2013-09-01,0.02
2013-10-01,0.11
2013-11-01,0.05
2013-12-01,0.02
2014-01-01,0.02
2014-02-01,0.05
2014-03-01,0.05
2014-04-01,0.02
2014-05-01,0.03
2014-06-01,0.02
2014-07-01,0.02
2014-08-01,0.03
2014-09-01,0.01
2014-10-01,0.02
2014-11-01,0.04
2014-12-01,0.03
2015-01-01,0.02
2015-02-01,0.02
2015-03-01,0.02
2015-04-01,0.02
2015-05-01,0.01
2015-06-01,0.00
2015-07-01,0.03
2015-08-01,0.03
2015-09-01,0.00
2015-10-01,0.01
2015-11-01,0.07
2015-12-01,0.17
2016-01-01,0.22
2016-02-01,0.25
2016-03-01,0.25
2016-04-01,0.19
2016-05-01,0.22
2016-06-01,0.22
2016-07-01,0.26
2016-08-01,0.26
2016-09-01,0.18
2016-10-01,0.24
2016-11-01,0.29
2016-12-01,0.41
2017-01-01,0.49
2017-02-01,0.47
2017-03-01,0.65
2017-04-01,0.73
2017-05-01,0.71
2017-06-01,0.82
2017-07-01,0.95
2017-08-01,0.96
2017-09-01,0.98
2017-10-01,0.98
2017-11-01,1.07
2017-12-01,1.18
2018-01-01,1.27
2018-02-01,1.36
2018-03-01,1.61
2018-04-01,1.63
2018-05-01,1.67
2018-06-01,1.77
2018-07-01,1.86
2018-08-01,1.91
2018-09-01,2.00
2018-10-01,2.14
2018-11-01,2.19
2018-12-01,2.32
2019-01-01,2.36
