company_id,category_code,country_code,state_code,average_funded,total_rounds,average_participants,products_number,offices,acquired_companies,mba_degree,phd_degree,ms_degree,other_degree,ipo,is_acquired,is_closed,age
c:1,web,USA,other,13250000.0,3,3.0,2.0,2.0,,5.0,1.0,3.0,18.0,False,False,False,2998.0
c:1001,web,USA,California,5000000.0,1,3.0,1.0,1.0,,1.0,1.0,5.0,11.0,False,True,False,679.0
c:10014,mobile,USA,California,,1,1.0,1.0,1.0,1.0,,1.0,2.0,6.0,False,True,False,943.0
c:10015,health,USA,California,13613840.0,5,3.8,,1.0,,4.0,,2.0,12.0,False,False,False,2284.0
c:100155,cleantech,USA,other,3375097.6667,3,1.6667,,1.0,,2.0,1.0,3.0,6.0,False,False,False,4018.0
c:10018,analytics,USA,California,11000000.0,3,4.3333,,1.0,,4.0,,,13.0,False,False,False,2922.0
c:100189,mobile,other,other,250000.0,1,2.0,,1.0,,,,,,False,False,False,3714.0
c:10021,network_hosting,other,other,,1,1.0,1.0,1.0,,,,,,False,False,False,2192.0
c:100228,education,USA,other,100000.0,1,0.0,,3.0,,,,,,False,False,False,1188.0
c:100238,medical,USA,other,5650000.0,2,0.5,,1.0,,,,,,False,False,False,2922.0
c:100243,manufacturing,USA,other,,2,3.0,,1.0,,,,1.0,1.0,False,False,False,3653.0
c:100253,biotech,other,other,2800000.0,1,0.0,,,,,1.0,,2.0,False,False,False,
c:10026,games_video,other,other,207420.0,2,0.0,,1.0,,,,1.0,,False,False,False,2799.0
c:100271,enterprise,USA,other,1500000.0,1,1.0,,1.0,,,,,4.0,False,False,False,3653.0
c:1003,web,USA,California,2500000.0,1,1.0,1.0,1.0,,1.0,,4.0,7.0,False,False,False,2922.0
c:100317,ecommerce,USA,other,,1,1.0,,1.0,,,,,,False,False,False,
c:100331,cleantech,USA,other,2100000.0,1,1.0,,1.0,1.0,,,,,False,False,False,
c:100379,ecommerce,USA,other,,1,1.0,,1.0,,4.0,,,10.0,False,False,False,3653.0
,,other,other,20000000.0,1,0.0,,,,,,,,False,False,False,
c:10054,mobile,USA,other,17357142.8571,7,3.8571,,2.0,,10.0,,3.0,41.0,False,True,False,3146.0
c:1006,web,USA,other,,1,1.0,1.0,1.0,,,,,,False,False,True,2679.0
c:100607,games_video,USA,California,40000.0,1,1.0,,1.0,,1.0,,2.0,,False,False,False,1096.0
c:10062,web,USA,California,,1,1.0,,1.0,,1.0,,,4.0,False,False,True,
c:10065,software,USA,other,420000.0,2,0.0,6.0,1.0,,4.0,,2.0,19.0,False,False,False,6575.0
c:10069,games_video,USA,California,31699066.6667,3,3.3333,,1.0,1.0,9.0,1.0,5.0,25.0,False,False,False,3928.0
c:1007,games_video,USA,California,3000000.0,1,6.0,1.0,1.0,,,,,2.0,False,True,False,
c:10075,web,USA,California,350000.0,1,0.0,,1.0,,,,,,False,False,False,2246.0
c:100756,education,other,other,559522.0,1,1.0,,1.0,,,,,,False,False,False,1826.0
c:10076,advertising,USA,California,,1,4.0,,2.0,,,,,,False,False,False,2314.0
c:10082,analytics,USA,California,3100000.0,1,4.0,1.0,1.0,,1.0,,,3.0,False,False,False,2192.0
c:100844,software,USA,other,2625000.0,4,1.0,,1.0,1.0,,,,1.0,True,False,False,
c:10092,web,USA,California,100000.0,1,0.0,,1.0,,,,2.0,,False,False,True,2557.0
