company_id,category_code,country_code,state_code,average_funded,total_rounds,average_participants,products_number,offices,acquired_companies,mba_degree,phd_degree,ms_degree,other_degree,ipo,is_closed,age,is_acquired
c:84933,mobile,USA,California,191500.0,2,0.0,,1.0,,,,1.0,2.0,False,False,3287.0,False
c:69986,social,USA,other,500000.0,3,0.0,,2.0,,,,,1.0,False,False,1118.0,False
c:241366,analytics,USA,other,300000.0,1,0.0,,1.0,,,,,,False,False,398.0,False
c:265420,hardware,USA,California,7542266.0,1,0.0,,1.0,,3.0,,,3.0,False,False,6209.0,False
c:77139,software,USA,other,1400000.0,4,2.25,,1.0,,2.0,,,4.0,False,False,968.0,True
c:59147,software,other,other,3700000.0,1,3.0,,1.0,,,,,,False,False,5479.0,False
c:261141,advertising,other,other,500000.0,1,1.0,,1.0,,,,,,False,False,,False
c:156200,search,other,other,681350.0,1,1.0,,2.0,,,,,,False,False,1492.0,False
c:23794,biotech,USA,California,10582851.2,10,2.0,1.0,2.0,,6.0,1.0,4.0,15.0,False,False,2922.0,False
c:39294,games_video,other,other,4000000.0,2,1.5,2.0,2.0,,,,,,False,False,1706.0,False
c:23335,web,USA,other,20000.0,1,1.0,3.0,1.0,,,,,1.0,False,True,1720.0,False
c:284499,real_estate,USA,other,155000.0,1,0.0,,1.0,,1.0,,,1.0,False,False,731.0,False
c:44296,biotech,other,other,1119267.5,2,2.5,,1.0,,,,,,False,False,,False
c:231369,software,other,other,,1,1.0,,3.0,,1.0,,1.0,1.0,False,False,,False
c:54727,social,other,other,4561.0,1,0.0,,1.0,,,,,1.0,False,False,1332.0,False
c:168427,software,USA,other,1308711.0,4,1.0,,1.0,,,,1.0,4.0,False,False,1942.0,False
c:163487,analytics,other,other,50000.0,1,1.0,,1.0,,1.0,,3.0,3.0,False,False,763.0,False
c:41285,software,other,other,,1,2.0,,1.0,,,,,,False,False,,False
c:193182,advertising,USA,California,22500.0,2,1.5,,2.0,,,,,,False,False,548.0,False
c:144090,mobile,other,other,707750.0,1,1.0,,1.0,,,,,,False,False,899.0,False
c:242486,software,USA,other,376256.0,1,0.0,,1.0,,,,,,False,False,5114.0,False
c:58432,network_hosting,USA,other,1200000.0,1,7.0,,1.0,,,,,2.0,False,False,1402.0,False
c:242430,health,USA,other,100000.0,1,0.0,,1.0,,,,,,False,False,731.0,False
c:243704,software,USA,other,,1,0.0,1.0,1.0,,,,,,False,False,184.0,False
c:81429,mobile,USA,California,1260000.0,1,2.0,,1.0,,,,,6.0,False,False,1583.0,False
