PERMNO,date,TICKER,BIDLO,ASKHI,ASK,OPENPRC
12060,19251231,,325.25000,328.50000,327.00000,325.25000
12060,19260102,,326.00000,328.00000,327.00000,326.75000
12060,19260104,,323.25000,328.00000,325.00000,326.00000
12060,19260105,,323.00000,328.00000,326.00000,325.00000
12060,19260106,,324.50000,329.50000,327.50000,324.50000
12060,19260107,,327.00000,331.00000,329.50000,328.00000
12060,19260108,,327.50000,336.50000,336.50000,327.87500
12060,19260109,,336.00000,344.50000,342.25000,336.50000
12060,19260111,,335.00000,346.00000,341.50000,344.75000
12060,19260112,,341.00000,347.25000,346.75000,345.00000
12060,19260113,,341.00000,347.50000,342.00000,346.25000
12060,19260114,,337.25000,343.50000,339.00000,341.00000
12060,19260115,,334.00000,338.75000,336.00000,338.00000
12060,19260116,,333.25000,337.75000,336.00000,334.12500
12060,19260118,,335.00000,338.00000,335.75000,335.00000
12060,19260119,,334.75000,342.00000,335.50000,335.50000
12060,19260120,,333.00000,338.75000,338.75000,333.00000
12060,19260121,,331.00000,339.00000,333.00000,338.75000
12060,19260122,,332.62500,335.75000,335.00000,334.00000
12060,19260123,,334.87500,337.00000,336.00000,335.00000
12060,19260125,,334.00000,338.00000,337.00000,334.00000
12060,19260126,,333.62500,337.00000,335.00000,336.00000
12060,19260127,,333.50000,337.00000,337.00000,334.50000
12060,19260128,,336.00000,340.50000,340.00000,338.00000
12060,19260129,,340.00000,343.75000,341.12500,340.25000
12060,19260130,,340.00000,341.25000,340.25000,341.25000
12060,19260201,,337.00000,341.00000,341.00000,340.00000
12060,19260202,,337.87500,340.00000,340.00000,338.00000
12060,19260203,,338.25000,344.00000,342.00000,338.25000
12060,19260204,,341.50000,348.00000,348.00000,341.50000
12060,19260205,,346.75000,350.50000,348.00000,350.00000
12060,19260206,,344.12500,346.00000,345.50000,345.00000
12060,19260208,,339.00000,348.75000,344.00000,345.50000
12060,19260209,,344.00000,347.25000,345.00000,345.50000
12060,19260210,,349.00000,363.50000,361.00000,350.00000
12060,19260211,,361.50000,368.00000,368.00000,362.50000
12060,19260213,,370.37500,384.00000,382.50000,370.50000
12060,19260215,,365.00000,379.00000,368.00000,379.00000
12060,19260216,,370.50000,378.87500,373.50000,370.50000
12060,19260217,,373.75000,378.25000,376.00000,374.00000
12060,19260218,,376.00000,385.75000,381.50000,376.00000
12060,19260219,,375.00000,386.50000,382.00000,384.00000
12060,19260220,,377.00000,383.00000,380.00000,380.00000
12060,19260223,,375.00000,384.00000,376.50000,382.00000
12060,19260224,,371.00000,375.75000,374.00000,371.00000
12060,19260225,,353.50000,375.00000,357.00000,374.25000
12060,19260226,,345.00000,362.50000,350.00000,357.00000
12060,19260227,,337.12500,347.50000,339.00000,346.00000
12060,19260301,,330.00000,344.00000,333.00000,341.50000
12060,19260302,,318.00000,335.50000,320.00000,331.50000
12060,19260303,,302.00000,324.50000,309.00000,321.00000
12060,19260304,,310.00000,329.87500,330.00000,310.50000
12060,19260305,,322.00000,330.00000,324.50000,330.00000
12060,19260306,,317.00000,323.00000,321.00000,322.50000
12060,19260308,,313.25000,329.00000,329.00000,318.00000
