,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,Cable & Wireless Communications Ltd,Severn Trent PLC,Scottish & Newcastle Ltd,J Sainsbury PLC,Cable & Wireless Communications Ltd,Cable & Wireless Communications Ltd,Cable & Wireless Communications Ltd,Lloyds Banking Group PLC,Cable & Wireless Communications Ltd,Vodafone Group PLC,Vodafone Group PLC,Vodafone Group PLC,Vodafone Group PLC,J Sainsbury PLC,Anglo American PLC
1,Invensys Ltd,Rolls-Royce Holdings PLC,United Utilities Group PLC,Dixons Retail Group Ltd,Dixons Retail Group Ltd,Vodafone Group PLC,BT Group PLC,Cable & Wireless Communications Ltd,Vodafone Group PLC,National Grid PLC,Man Group PLC,SSE PLC,SSE PLC,HSBC Holdings PLC,BHP Billiton PLC
2,Severn Trent PLC,United Utilities Group PLC,Severn Trent PLC,Severn Trent PLC,United Utilities Group PLC,Dixons Retail Group Ltd,Vodafone Group PLC,BT Group PLC,United Utilities Group PLC,SSE PLC,ICAP PLC,HSBC Holdings PLC,HSBC Holdings PLC,SSE PLC,HSBC Holdings PLC
3,United Utilities Group PLC,Scottish & Newcastle Ltd,Dixons Retail Group Ltd,United Utilities Group PLC,Severn Trent PLC,Severn Trent PLC,United Utilities Group PLC,Barclays PLC,SSE PLC,United Utilities Group PLC,SSE PLC,J Sainsbury PLC,United Utilities Group PLC,Vodafone Group PLC,Royal Dutch Shell PLC
4,Scottish Power Ltd,RSA Insurance Group PLC,SSE PLC,GlaxoSmithKline PLC,SSE PLC,United Utilities Group PLC,Alliance & Leicester Ltd,Marks & Spencer Group PLC,Man Group PLC,Severn Trent PLC,J Sainsbury PLC,National Grid PLC,J Sainsbury PLC,BP PLC,SSE PLC
5,Scottish & Newcastle Ltd,Scottish Power Ltd,J Sainsbury PLC,SSE PLC,BT Group PLC,BT Group PLC,Home Retail Group PLC,Vodafone Group PLC,Severn Trent PLC,J Sainsbury PLC,Marks & Spencer Group PLC,United Utilities Group PLC,National Grid PLC,Royal Mail PLC,BP PLC
6,SSE PLC,Gates Worldwide Ltd,Hays PLC,Tate & Lyle PLC,National Grid PLC,Alliance Boots Holdings Ltd,Taylor Wimpey PLC,United Utilities Group PLC,Home Retail Group PLC,Marks & Spencer Group PLC,National Grid PLC,Friends Life Group Ltd,Severn Trent PLC,BHP Billiton PLC,Rio Tinto PLC
7,EMI Group Ltd,J Sainsbury PLC,Rolls-Royce Holdings PLC,BT Group PLC,Tate & Lyle PLC,SSE PLC,Wolseley PLC,Man Group PLC,National Grid PLC,BT Group PLC,Aviva PLC,Marks & Spencer Group PLC,Royal Dutch Shell PLC,Royal Dutch Shell PLC,Vodafone Group PLC
8,Land Securities Group PLC,Hays PLC,BOC Group Ltd/The,BOC Group Ltd/The,Alliance Boots Holdings Ltd,National Grid PLC,Kingfisher PLC,Home Retail Group PLC,Rexam Ltd,RSA Insurance Group PLC,United Utilities Group PLC,RSA Insurance Group PLC,Marks & Spencer Group PLC,GlaxoSmithKline PLC,Royal Mail PLC
9,Rolls-Royce Holdings PLC,Land Securities Group PLC,Land Securities Group PLC,Bunzl PLC,LHR Airports Ltd,Diageo PLC,Severn Trent PLC,Intu Properties PLC,J Sainsbury PLC,Royal Dutch Shell PLC,RSA Insurance Group PLC,Aviva PLC,RSA Insurance Group PLC,National Grid PLC,J Sainsbury PLC
