Date,3i Group PLC,Aberdeen Asset Management PLC,Acacia Mining PLC,Admiral Group PLC,Aggreko PLC,Alliance & Leicester Ltd,Alliance Boots Holdings Ltd,Alliance Trust PLC,Alliance UniChem PLC,Allied Domecq Ltd,Amec Foster Wheeler PLC,Anglo American PLC,Antofagasta PLC,ARM Holdings PLC,Ascential Group Ltd,Ashmore Group PLC,Ashtead Group PLC,Associated British Foods PLC,AstraZeneca PLC,Autonomy Corp Ltd,Aviva PLC,Babcock International Group PLC,BAE Systems PLC,Balfour Beatty PLC,Barclays PLC,Barratt Developments PLC,Berkeley Group Holdings PLC,BG Group Ltd,BHP Billiton PLC,BIP Industries Ltd,BOC Group Ltd/The,BP PLC,Bradford & Bingley PLC,British American Tobacco PLC,British Land Co PLC/The,BT Group PLC,Bunzl PLC,Burberry Group PLC,Bwin Party Digital Entertainment PLC,Cable & Wireless Communications Ltd,Cable & Wireless Worldwide Ltd,Cadbury Ltd,Cairn Energy PLC,Canary Wharf Group PLC,Capita PLC,Carnival PLC,Carphone Warehouse Group PLC\Old,Celltech Group Ltd,Centrica PLC,Cobham PLC,Coca-Cola HBC AG,Compass Group PLC,ConvaTec Group PLC,Corus Group Ltd,CRH PLC,Croda International PLC,Daily Mail & General Trust PLC,DCC PLC,Diageo PLC,Direct Line Insurance Group PLC,Dixons Carphone PLC,Dixons Retail Group Ltd,Drax Group PLC,easyJet PLC,EDF Energy Nuclear Generation Group Ltd,EI Group PLC,Electrocomponents PLC,EMI Group Ltd,Enterprise Oil Ltd,Essar Energy Ltd,Eurasian Natural Resources Corp Ltd,Evraz PLC,Exel Ltd,Experian Finance PLC,Experian PLC,Firstgroup PLC,Foreign & Colonial Investment Trust PLC,Fresnillo PLC,Friends Life FPG Ltd,Friends Life Group Ltd,G4S PLC,Gallaher Group Ltd,Gates Worldwide Ltd,GE Healthcare Ltd,GKN PLC,GlaxoSmithKline PLC,Glencore PLC,Granada Ltd,Hammerson PLC,Hanson Ltd,Hargreaves Lansdown PLC,Hays PLC,HBOS PLC,Hibu plc,Hikma Pharmaceuticals PLC,Home Retail Group PLC,HSBC Holdings PLC,ICAP PLC,IMI PLC,Imperial Brands PLC,Imperial Chemical Industries Ltd,Informa PLC,Inmarsat PLC,InterContinental Hotels Group PLC,International Consolidated Airlines Grou,International Power Ltd,Intertek Group PLC,Intu Properties PLC,Invensys Ltd,Invesco Ltd,Investec PLC,ITV PLC,J Sainsbury PLC,John Wood Group PLC,Johnson Matthey PLC,KAZ Minerals PLC,Kelda Group Ltd,Kingfisher PLC,Ladbrokes Coral Group PLC,Land Securities Group PLC,Landmark Mortgages Ltd,Lattice Group Ltd,Legal & General Group PLC,LHR Airports Ltd,Lloyds Banking Group PLC,Logica Ltd,London Stock Exchange Group PLC,Lonmin PLC,Man Group PLC,Marks & Spencer Group PLC,Mediclinic International PLC,Meggitt PLC,Melrose Industries PLC,Merlin Entertainments PLC,Micro Focus International PLC,Mitchells & Butlers PLC,Mondi PLC,MS Amlin PLC,National Grid PLC,Next PLC,Old Mutual PLC,Paddy Power Betfair PLC,Pearl Group Holdings No 1 Ltd,Pearson PLC,Peninsular & Oriental Steam Navigation C,Pennon Group PLC,Persimmon PLC,Petrofac Ltd,Polymetal International PLC,Powergen Ltd,Provident Financial PLC,Prudential PLC,Punch Taverns PLC,Randgold Resources Ltd,Reckitt Benckiser Group PLC,RELX PLC,Rentokil Initial PLC,Rexam Ltd,Rio Tinto PLC,Rolls-Royce Holdings PLC,Royal Bank of Scotland Group PLC,Royal Dutch Shell PLC,Royal Mail PLC,RSA Insurance Group PLC,RWE Generation UK Holdings PLC,SABMiller PLC,Safeway Ltd,Sage Group PLC/The,Santander UK PLC,Schroders PLC,Scottish & Newcastle Ltd,Scottish Mortgage Investment Trust PLC,Scottish Power Ltd,Segro PLC,Serco Group PLC,Severn Trent PLC,Shell Transport & Trading Co Ltd/The,Shire PLC,Six Continents Ltd,Sky PLC,Smith & Nephew PLC,Smiths Group PLC,Smurfit Kappa Group PLC,Sports Direct International PLC,SSE PLC,St James's Place PLC,Standard Chartered PLC,Standard Life PLC,Tate & Lyle PLC,Taylor Wimpey PLC,Telefonica Europe PLC,Tesco PLC,Thomas Cook Group PLC,Thomson Reuters UK Ltd,Travis Perkins PLC,TUI AG,TUI Travel Ltd,Tullow Oil PLC,Unilever PLC,United Utilities Group PLC,Vedanta Resources PLC,Vodafone Group PLC,Weir Group PLC/The,Whitbread PLC,William Hill PLC,Wm Morrison Supermarkets PLC,Wolseley PLC,Worldpay Group PLC,WPP PLC,Xstrata Ltd,UKX Index
2001-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.612684,,,,
2001-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.418604651162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.891854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-19,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.26252686000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.965712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.59251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.844648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
