,SMB,HML,UMD
0,3.64e-05,-0.07261682,0.04129683
1,0.00616493,-0.01852717,0.00696386
2,0.00235637,-0.00167116,0.01586914
3,0.02026328,0.00562219,0.01424536
4,-0.00805504,0.02221654,0.00608652
5,0.04768562,-0.01117393,0.02115283
6,-0.00988139,0.07669707,-0.0683694
7,0.04444705,-0.01160645,0.02243358
8,-0.01701435,-0.02613062,0.07177751
9,0.01027925,-0.01840889,0.01390542
10,-0.0240125,0.00406842,0.02667275
11,0.01153225,0.03058684,-0.03228693
12,0.00414804,-0.01088349,-0.01344999
13,-0.03219194,0.02089796,0.00330574
14,0.0297391,0.02043069,0.00939755
15,0.00677975,0.04199374,0.02514037
16,0.03408546,0.00133328,0.03677162
17,-0.01374716,-0.01432566,-0.00489508
18,-0.01341474,-0.01317134,-1.302e-06
19,-0.00723299,-0.00561746,0.04036714
20,-0.00292305,-0.01083117,0.04354397
21,0.0047621,-0.04745413,0.03191795
22,-0.02902472,-0.00884551,0.01038469
23,-0.01685531,-0.06743607,0.10438186
24,-0.00725783,0.03184216,0.00250076
25,0.03311322,-0.07309601,0.07047138
26,-0.01289833,-0.00499058,-0.00282141
27,0.02608607,0.05475615,-0.03006718
28,0.02995182,-0.01073409,-0.00695311
29,0.00411843,0.05621259,-0.02268868
30,-0.02948415,0.04729225,-0.05266851
31,-0.00870192,-0.00617171,-0.02217466
32,-0.00810348,0.02022712,0.00063896
33,0.02393333,-0.00403947,0.04303878
34,-0.01944574,0.03414794,0.03356662
35,-0.0046675,0.01124318,0.00149215
36,-0.01881216,0.037307,-0.02650421
37,-0.0022108,0.00265613,0.022254
38,-0.00455747,0.02420114,0.01104298
39,0.00842558,0.04336253,0.0264665
40,0.02168877,0.01279275,0.00304591
41,-0.0299352,-0.00121378,0.01603896
42,-0.02987512,0.00389963,0.01989614
43,0.01453304,0.01581536,-0.02430453
44,-0.00314333,0.03377913,-0.0081101
45,-0.00115919,0.02498301,-0.01254443
46,0.00420359,-0.00911285,-0.01628864
47,-0.00935101,-0.01865668,-0.00195623
48,-0.00535138,0.0152022,0.02094513
49,0.00890498,-0.0170814,0.04880069
50,0.00088026,-0.00105396,0.03929704
51,-0.0056799,0.02770506,0.02860767
52,0.03020736,-0.00248675,0.00424881
53,0.01982087,0.00400114,0.02259472
54,0.00102429,0.00330809,0.00015137
55,0.005565,0.02851362,0.02081116
56,-0.00934842,0.0508094,0.01382065
57,0.0036823,-0.00040823,0.00497476
58,-0.00376855,-0.00554802,0.00289139
59,0.01588182,0.03662229,0.05017652
60,0.00456269,-0.00255815,0.04343888
61,-0.02106787,-0.01617122,0.00641312
62,-0.00475763,0.02289749,-0.03542143
63,0.02517495,0.03673678,-0.00248833
64,-0.00284758,-0.02464302,0.01429938
65,-0.01253125,-0.0012775,0.07942305
66,0.06446004,0.00972533,-0.00909251
67,0.01749225,0.02313521,0.00628539
68,0.01094519,0.01435412,0.01011169
69,0.02207925,0.00424623,-0.00554805
70,-0.04546735,-0.01224789,-0.03028082
71,0.01885196,0.03664857,0.0093831
72,-0.00294197,0.0314265,-0.01713988
73,0.01594992,0.02662328,-0.01435267
74,0.00124297,0.03217289,-0.00938976
75,0.01103578,0.0102801,0.0249952
76,-0.01350255,-0.05271431,0.00100289
77,0.04471848,0.04713652,0.02928288
78,0.00194858,0.01573741,-0.01325408
79,0.00535099,0.00226091,0.01443002
80,0.06726263,0.04726884,0.0601596
81,0.05192036,0.01943515,0.01512068
82,-0.00475548,-0.0001004,-0.01235315
83,-0.00095386,0.00527216,0.02582203
84,0.02707259,0.06790376,-0.05910828
85,-0.04728793,0.02865203,-0.01420271
86,-0.00408953,0.01311931,-0.01963009
87,0.01758005,-0.00255016,-0.00945506
88,0.00915923,0.00477598,0.00943325
89,0.01975217,0.0221653,0.02825535
90,-0.0035372,0.00846153,0.00602774
91,0.02318202,0.00113282,0.02891815
92,0.0005721,-0.00027757,-0.02787061
93,0.01696421,0.01662885,0.01869451
94,-0.00149763,0.01505751,0.01640154
95,-0.0295048,0.01266142,0.0183409
96,0.01622902,0.02585981,-0.00932939
97,0.01058819,0.03189718,0.01536595
98,-0.03919985,0.00530531,-0.00903727
99,-0.03586315,-0.00038012,-0.03634154
100,0.03812945,-0.01016452,0.03686631
101,-0.0172534,-0.00811563,0.01548823
102,-0.01955155,-0.00522298,0.01364342
103,-0.00681317,-0.00617179,0.02904731
104,-0.02018927,0.01268196,0.00653507
105,-0.02521153,0.01690614,-0.00161029
106,-0.03200743,-0.04804186,0.00836855
107,0.0202215,0.01222037,-0.00926832
108,-0.03641578,-0.01118978,0.02057941
109,-0.04955011,-0.00866209,0.03270241
110,-0.02870649,0.01990488,-0.00864027
111,0.0336541,0.00179506,0.00914165
112,-0.00711779,-0.01423928,0.02273678
113,-0.02372201,-0.01242726,0.01796558
114,0.0050701,0.00562575,-0.00496235
115,-0.05498756,0.00604843,-0.0092795
116,0.00832793,0.00330608,0.00998543
117,0.00797521,0.01865915,0.0157256
118,-0.04104752,0.01940555,0.01677939
119,-0.01706117,-0.00867449,0.04667722
120,-0.02296355,0.02223839,0.00818716
121,-0.04090018,0.02849347,0.01671661
122,-0.00099751,-0.01137735,0.00054251
123,-0.05565114,-0.0213856,0.00255083
124,0.06102919,0.01116258,-0.05705906
125,0.05411022,-0.02524772,-0.02137707
126,-0.00366284,-0.00974852,0.02202922
127,-0.0224678,-0.02727421,0.02877308
128,-0.00893065,-0.02894964,0.01730068
129,-0.05790897,-0.00501762,0.03824371
130,0.02215365,-0.01118182,-0.00863796
131,0.04753415,0.00807135,0.02594946
132,0.00656917,-0.04396871,0.0542651
133,0.02316778,-0.04739225,0.02798034
134,-0.06471811,-0.04190544,0.05543213
135,0.00661615,-0.01831463,0.00795457
136,0.0083622,-0.00397539,0.02795829
137,-0.00298375,-0.01684558,0.01539587
138,0.00575956,0.06054516,-0.04811912
139,0.0310631,0.00196429,0.00284077
140,-0.00168413,-0.00284432,0.06010189
141,-0.04966549,-0.03890508,0.01416594
142,-0.02114876,0.00070999,0.04013642
143,-0.02577949,-0.01635135,-0.00111596
144,-0.02228486,0.02348207,-0.02440713
145,-0.00363909,0.00831012,0.0012533
146,0.05564347,0.02382261,-0.02665691
147,0.07582233,0.03351435,0.01913337
148,-0.00210049,0.04399987,-0.00135622
149,0.00912344,0.03689435,0.01739428
150,0.04094795,0.02839651,-0.02868115
151,0.01320446,0.02255357,0.01404272
152,0.00549481,0.02429882,0.02762835
153,-0.01800358,0.02938565,0.03632358
154,0.00729538,0.00524798,-0.00841679
155,0.00906497,0.02730333,0.03213967
156,-0.02161962,0.00189375,0.01088865
157,-0.02485367,-0.00268092,0.00980567
158,-0.00927055,0.00852468,0.0371867
159,0.07073439,0.02271799,0.0128355
160,0.03975554,0.0050953,-0.00963431
161,-0.0099109,-0.00321718,0.00132143
162,-0.00135491,-0.00025825,0.00641827
163,0.01697913,0.0069232,-0.00458674
164,-0.03717936,-2.088e-05,-0.01064058
165,-0.0249652,0.01337195,0.02158143
166,-0.03394966,-0.0042752,-0.00296414
167,0.02222644,0.00413577,0.01032637
168,-0.02919201,0.00316705,0.01496992
169,-0.00479859,-0.00904072,0.00372301
170,-0.01392646,0.00024204,0.01292204
171,0.00389849,0.00187439,0.00442016
172,-0.01221765,-0.00918287,-0.00346479
173,-0.01289417,-0.00712468,-0.01724358
174,0.0006452,-0.00133797,0.01859704
175,0.00888123,0.0064833,0.00699426
176,-0.01481267,-0.02865422,0.03939537
177,0.00186282,0.00768363,0.00011815
178,0.01004396,-0.03373687,0.01950799
179,0.01187556,-0.0339203,0.03046996
180,-0.00391412,-0.04525714,0.05245412
181,-0.01633488,0.00335497,0.02161857
182,-0.00960516,0.01076056,-0.00145716
183,0.01639952,-0.00401987,0.00839753
184,0.02423791,-0.0034403,0.00031503
185,0.02050945,4.92e-05,-0.0001964
186,0.0343858,-0.00213345,0.0074846
187,0.0223232,-0.03041166,0.02853337
