,01/01/2002,01/01/2003,01/01/2004,01/01/2005,01/01/2006,01/01/2007,01/01/2008,01/01/2009,01/01/2010,01/01/2011,01/01/2012,01/01/2013,01/01/2014,01/01/2015,01/01/2016
0,3i Group PLC,3i Group PLC,3i Group PLC,3i Group PLC,3i Group PLC,3i Group PLC,3i Group PLC,3i Group PLC,3i Group PLC,3i Group PLC,Admiral Group PLC,Aberdeen Asset Management PLC,Aberdeen Asset Management PLC,3i Group PLC,3i Group PLC
1,Alliance & Leicester Ltd,Alliance & Leicester Ltd,Alliance & Leicester Ltd,Alliance & Leicester Ltd,Alliance & Leicester Ltd,Alliance & Leicester Ltd,Admiral Group PLC,Admiral Group PLC,Admiral Group PLC,Acacia Mining PLC,Aggreko PLC,Admiral Group PLC,Admiral Group PLC,Aberdeen Asset Management PLC,Aberdeen Asset Management PLC
2,Alliance Boots Holdings Ltd,Alliance Boots Holdings Ltd,Alliance Boots Holdings Ltd,Alliance Boots Holdings Ltd,Alliance Boots Holdings Ltd,Alliance Boots Holdings Ltd,Alliance & Leicester Ltd,Alliance Trust PLC,Aggreko PLC,Admiral Group PLC,Amec Foster Wheeler PLC,Aggreko PLC,Aggreko PLC,Admiral Group PLC,Admiral Group PLC
3,Allied Domecq Ltd,Alliance UniChem PLC,Alliance UniChem PLC,Alliance UniChem PLC,Alliance UniChem PLC,Anglo American PLC,Amec Foster Wheeler PLC,Amec Foster Wheeler PLC,Alliance Trust PLC,Aggreko PLC,Anglo American PLC,Amec Foster Wheeler PLC,Amec Foster Wheeler PLC,Aggreko PLC,Anglo American PLC
4,Anglo American PLC,Allied Domecq Ltd,Allied Domecq Ltd,Allied Domecq Ltd,Anglo American PLC,Antofagasta PLC,Anglo American PLC,Anglo American PLC,Amec Foster Wheeler PLC,Alliance Trust PLC,Antofagasta PLC,Anglo American PLC,Anglo American PLC,Anglo American PLC,Antofagasta PLC
5,ARM Holdings PLC,Anglo American PLC,Anglo American PLC,Anglo American PLC,Antofagasta PLC,Associated British Foods PLC,Antofagasta PLC,Antofagasta PLC,Anglo American PLC,Amec Foster Wheeler PLC,ARM Holdings PLC,Antofagasta PLC,Antofagasta PLC,Antofagasta PLC,ARM Holdings PLC
6,Associated British Foods PLC,Ascential Group Ltd,Ascential Group Ltd,Antofagasta PLC,Associated British Foods PLC,AstraZeneca PLC,Associated British Foods PLC,Associated British Foods PLC,Antofagasta PLC,Anglo American PLC,Ashmore Group PLC,ARM Holdings PLC,ARM Holdings PLC,ARM Holdings PLC,Ashtead Group PLC
7,AstraZeneca PLC,Associated British Foods PLC,Associated British Foods PLC,Ascential Group Ltd,AstraZeneca PLC,Aviva PLC,AstraZeneca PLC,AstraZeneca PLC,Associated British Foods PLC,Antofagasta PLC,Associated British Foods PLC,Associated British Foods PLC,Ashtead Group PLC,Ashtead Group PLC,Associated British Foods PLC
8,Aviva PLC,AstraZeneca PLC,AstraZeneca PLC,Associated British Foods PLC,Aviva PLC,BAE Systems PLC,Aviva PLC,Autonomy Corp Ltd,AstraZeneca PLC,ARM Holdings PLC,AstraZeneca PLC,AstraZeneca PLC,Associated British Foods PLC,Associated British Foods PLC,AstraZeneca PLC
9,BAE Systems PLC,Aviva PLC,Aviva PLC,AstraZeneca PLC,BAE Systems PLC,Barclays PLC,BAE Systems PLC,Aviva PLC,Autonomy Corp Ltd,Associated British Foods PLC,Aviva PLC,Aviva PLC,AstraZeneca PLC,AstraZeneca PLC,Aviva PLC
10,Barclays PLC,BAE Systems PLC,BAE Systems PLC,Aviva PLC,Barclays PLC,BG Group Ltd,Barclays PLC,BAE Systems PLC,Aviva PLC,AstraZeneca PLC,BAE Systems PLC,Babcock International Group PLC,Aviva PLC,Aviva PLC,Babcock International Group PLC
